date,pm2.5_avg,humidity,temperature,pressure
2022-05-01 00:00:00+00:00,31.860300429184548,46.633,62.233,892.75
2022-05-02 00:00:00+00:00,36.980257510729615,64.334,62.167,890.051
2022-05-03 00:00:00+00:00,20.925,63.666,58.267,894.619
2022-05-04 00:00:00+00:00,19.89166666666667,60.367,62.0,894.315
2022-05-05 00:00:00+00:00,15.241666666666667,47.667,63.733,888.1
2022-05-06 00:00:00+00:00,9.3,55.966,54.867,891.497
2022-05-07 00:00:00+00:00,10.075,53.867,53.933,892.205
2022-05-08 00:00:00+00:00,26.09166666666667,62.567,57.966,893.135
2022-05-09 00:00:00+00:00,13.95,63.566,50.067,896.487
2022-05-10 00:00:00+00:00,7.75,53.834,56.7,895.62
2022-05-11 00:00:00+00:00,11.625,49.6,55.1,896.782
2022-05-12 00:00:00+00:00,18.85833333333333,52.367,56.133,897.684
2022-05-13 00:00:00+00:00,14.208333333333332,58.8,55.933,902.011
2022-05-14 00:00:00+00:00,36.669957081545064,50.233,54.3,902.464
2022-05-15 00:00:00+00:00,25.575,43.867,63.966,897.049
2022-05-16 00:00:00+00:00,23.766666666666666,63.834,62.466,894.226
2022-05-17 00:00:00+00:00,27.9,51.267,55.133,897.918
2022-05-18 00:00:00+00:00,19.89166666666667,44.834,60.166,895.858
2022-05-19 00:00:00+00:00,35.27360515021459,51.133,62.466,896.952
2022-05-20 00:00:00+00:00,27.383333333333333,58.167,65.2,894.351
2022-05-21 00:00:00+00:00,13.433333333333334,54.433,48.066,901.788
2022-05-22 00:00:00+00:00,21.7,45.2,54.4,898.06
2022-05-23 00:00:00+00:00,19.633333333333333,37.067,67.767,887.002
2022-05-24 00:00:00+00:00,17.308333333333334,50.8,59.0,888.376
2022-05-25 00:00:00+00:00,2.066666666666667,61.5,53.933,896.377
2022-05-26 00:00:00+00:00,6.2,47.267,53.834,900.904
2022-05-27 00:00:00+00:00,12.916666666666668,45.166,58.233,899.391
2022-05-28 00:00:00+00:00,12.4,39.867,64.466,897.796
2022-05-29 00:00:00+00:00,26.608333333333334,41.0,67.867,896.65
2022-05-30 00:00:00+00:00,30.741666666666667,42.867,66.5,898.869
2022-05-31 00:00:00+00:00,32.325751072961374,37.9,70.5,897.806
2022-06-01 00:00:00+00:00,21.18333333333333,37.733,70.666,897.561
2022-06-02 00:00:00+00:00,18.341666666666665,45.334,66.233,899.573
2022-06-03 00:00:00+00:00,18.083333333333336,41.067,70.966,900.117
2022-06-04 00:00:00+00:00,31.705150214592273,34.6,76.7,899.121
2022-06-05 00:00:00+00:00,28.675,34.034,76.067,895.098
2022-06-06 00:00:00+00:00,18.341666666666665,30.566,73.133,891.252
2022-06-08 00:00:00+00:00,28.416666666666664,43.733,73.267,891.412
2022-06-09 00:00:00+00:00,17.566666666666666,39.5,73.7,892.946
2022-06-10 00:00:00+00:00,22.733333333333334,52.966,66.367,893.558
2022-06-11 00:00:00+00:00,9.558333333333334,45.5,70.233,895.527
2022-06-12 00:00:00+00:00,17.825000000000003,45.8,67.933,893.273
2022-06-13 00:00:00+00:00,20.666666666666664,58.434,66.833,890.724
2022-06-14 00:00:00+00:00,18.341666666666665,44.567,71.066,889.699
2022-06-15 00:00:00+00:00,23.766666666666666,50.367,65.767,894.111
2022-06-16 00:00:00+00:00,35.42875536480687,45.0,70.166,896.489
2022-06-17 00:00:00+00:00,19.89166666666667,44.367,74.5,896.782
2022-06-18 00:00:00+00:00,25.31666666666667,46.233,76.3,893.822
2022-06-19 00:00:00+00:00,22.475,44.233,73.5,895.626
2022-06-20 00:00:00+00:00,19.116666666666667,41.534,77.1,894.56
2022-06-21 00:00:00+00:00,19.89166666666667,47.0,76.3,890.402
2022-06-22 00:00:00+00:00,31.705150214592273,42.967,76.066,881.409
2022-06-23 00:00:00+00:00,10.333333333333332,45.233,69.933,888.648
2022-06-28 00:00:00+00:00,32.7912017167382,43.9,73.1,891.278
2022-06-29 00:00:00+00:00,28.675,44.1,75.433,891.401
2022-06-30 00:00:00+00:00,26.608333333333334,43.967,76.4,892.905
2022-07-01 00:00:00+00:00,16.01666666666667,39.8,76.133,891.667
2022-07-02 00:00:00+00:00,21.958333333333336,41.767,76.0,890.452
2022-07-03 00:00:00+00:00,12.4,35.133,68.6,894.5
2022-07-04 00:00:00+00:00,20.925,39.4,67.834,895.357
2022-07-05 00:00:00+00:00,21.958333333333336,40.933,69.633,896.186
2022-07-06 00:00:00+00:00,18.341666666666665,37.1,70.1,895.963
2022-07-07 00:00:00+00:00,26.608333333333334,37.2,73.166,895.082
2022-07-08 00:00:00+00:00,29.19166666666667,42.4,71.4,893.796
2022-07-09 00:00:00+00:00,32.1706008583691,39.334,75.267,892.375
2022-07-10 00:00:00+00:00,21.44166666666667,36.0,78.0,889.061
2022-07-11 00:00:00+00:00,14.466666666666665,33.333,79.267,888.054
2022-07-12 00:00:00+00:00,21.44166666666667,35.367,80.2,893.325
2022-07-13 00:00:00+00:00,15.758333333333333,32.133,80.434,892.957
2022-07-14 00:00:00+00:00,11.366666666666667,29.934,80.9,890.771
2022-07-15 00:00:00+00:00,14.983333333333334,33.233,79.5,893.313
2022-07-16 00:00:00+00:00,19.116666666666667,35.867,79.9,893.549
2022-07-17 00:00:00+00:00,23.25,35.367,82.967,891.754
2022-07-19 00:00:00+00:00,22.475,22.733,86.034,893.103
2022-07-20 00:00:00+00:00,20.40833333333333,32.267,83.233,892.047
2022-07-21 00:00:00+00:00,29.96666666666667,39.933,82.166,889.122
2022-07-22 00:00:00+00:00,11.625,41.966,77.4,890.607
2022-07-24 00:00:00+00:00,11.625,35.9,69.667,893.0
2022-07-25 00:00:00+00:00,9.041666666666668,37.433,70.7,892.801
2022-07-26 00:00:00+00:00,12.916666666666668,35.8,74.1,892.611
2022-07-27 00:00:00+00:00,34.65300429184549,43.1,77.066,891.005
2022-07-28 00:00:00+00:00,34.65300429184549,42.466,77.9,893.119
2022-07-29 00:00:00+00:00,27.9,40.7,80.367,894.751
2022-07-30 00:00:00+00:00,25.833333333333336,42.267,79.867,894.84
2022-07-31 00:00:00+00:00,21.958333333333336,33.4,81.733,892.419
2022-08-01 00:00:00+00:00,28.675,37.834,80.066,891.151
2022-08-02 00:00:00+00:00,35.894206008583694,42.466,81.0,891.506
2022-08-03 00:00:00+00:00,35.27360515021459,40.466,82.8,891.545
2022-08-04 00:00:00+00:00,24.28333333333333,36.6,81.066,894.691
2022-08-05 00:00:00+00:00,32.48090128755365,37.933,83.1,894.294
2022-08-06 00:00:00+00:00,13.95,38.5,80.034,892.169
2022-08-07 00:00:00+00:00,26.608333333333334,37.067,78.9,889.476
2022-08-08 00:00:00+00:00,11.883333333333333,43.1,78.667,890.677
2022-08-09 00:00:00+00:00,21.18333333333333,42.033,77.966,894.185
2022-08-10 00:00:00+00:00,26.35,43.0,77.367,893.716
2022-08-11 00:00:00+00:00,17.825000000000003,42.5,76.934,891.83
2022-08-15 00:00:00+00:00,24.541666666666664,34.433,81.633,889.357
2022-08-16 00:00:00+00:00,28.416666666666664,33.0,83.233,891.865
2022-08-17 00:00:00+00:00,23.25,29.833,83.667,892.482
2022-08-18 00:00:00+00:00,22.733333333333334,30.566,82.967,892.001
2022-08-19 00:00:00+00:00,21.44166666666667,31.634,80.733,890.083
2022-08-20 00:00:00+00:00,25.833333333333336,26.566,80.167,891.987
2022-08-21 00:00:00+00:00,13.691666666666666,27.6,77.367,894.255
2022-08-22 00:00:00+00:00,19.633333333333333,37.834,76.433,894.3
2022-08-23 00:00:00+00:00,17.308333333333334,34.766,76.834,895.42
2022-08-25 00:00:00+00:00,12.141666666666666,31.0,75.3,897.67
2022-08-26 00:00:00+00:00,16.275,34.067,75.566,895.55
2022-08-27 00:00:00+00:00,20.666666666666664,30.767,77.233,895.298
2022-08-28 00:00:00+00:00,22.21666666666667,26.534,78.8,896.101
2022-08-29 00:00:00+00:00,18.85833333333333,28.166,78.834,896.738
2022-08-30 00:00:00+00:00,18.341666666666665,26.0,80.0,897.863
2022-09-20 00:00:00+00:00,29.708333333333336,39.2,76.267,893.354
2022-09-21 00:00:00+00:00,34.65300429184549,29.867,74.934,892.864
2022-09-22 00:00:00+00:00,35.58390557939914,22.667,81.733,890.805
2022-09-23 00:00:00+00:00,32.94635193133047,59.5,65.133,894.554
2022-09-24 00:00:00+00:00,26.608333333333334,42.458,63.083,895.699
2022-09-25 00:00:00+00:00,3.1,39.934,63.534,898.111
2022-09-26 00:00:00+00:00,15.241666666666667,42.2,58.1,902.712
2022-09-27 00:00:00+00:00,19.116666666666667,35.267,60.7,899.521
2022-09-28 00:00:00+00:00,27.9,31.4,63.6,895.701
2023-01-15 00:00:00+00:00,116.59373024236038,47.534,35.1,903.628
2023-01-16 00:00:00+00:00,96.64095477386935,49.2,32.867,902.426
2023-01-17 00:00:00+00:00,114.09178082191781,47.6,38.2,902.32
2023-01-18 00:00:00+00:00,105.75194942044257,50.133,36.233,903.385
2023-01-19 00:00:00+00:00,91.62060301507537,47.1,36.233,905.385
2023-01-20 00:00:00+00:00,79.84874371859297,47.733,36.267,906.791
2023-01-21 00:00:00+00:00,98.71834170854271,46.966,36.666,904.442
2023-01-22 00:00:00+00:00,114.62249736564804,50.334,34.367,907.495
2023-01-23 00:00:00+00:00,74.65527638190954,49.267,31.233,907.834
2023-01-24 00:00:00+00:00,57.30493562231761,41.334,31.0,908.824
2023-01-25 00:00:00+00:00,67.38969957081545,44.034,29.7,906.36
